ids,questions
691,"Qual é o tempo mínimo e máximo de duração para a apresentação no Exame de Proficiência em Inglês na USP, e qual será a consequência se o candidato não cumprir esse tempo?"
1471,"Quais são as responsabilidades da Seção de Materiais na Universidade de São Paulo conforme o regulamento interno?"
1399,"Quais são os critérios de composição da Comissão de Inclusão e Pertencimento (CIP-FEUSP)?"
1355,"Quais são as categorias e os níveis de progressão na carreira docente na Universidade de São Paulo (USP) e como um professor pode ascender de um nível para outro?"
1402,"Quais são os critérios para o credenciamento específico de orientadores no PPGE-USP que não atendem aos requisitos mínimos especificados anteriormente?"
849,"Quantos créditos especiais são concedidos a um aluno da USP por depósito de patentes ou registro de softwares?"
729,"Quais são os critérios avaliados pela CCP para o credenciamento de uma nova disciplina nos programas de pós-graduação da USP?"
1503,"Quais são as responsabilidades do Diretor da FMVZ em relação à apresentação de relatórios e convocação de eleições conforme o regimento interno?"
908,"Quais são os critérios para o credenciamento de um orientador pleno no programa de pós-graduação da USP?"
652,"Quais são os critérios necessários para comprovar o pertencimento a um grupo indígena em processos seletivos da USP?"
1297,Qual é a missão da Faculdade de Saúde Pública da Universidade de São Paulo?"
879,"Como um aluno pode mudar do curso de Mestrado para o de Doutorado Direto na USP?"
1120,"Qual é a carga horária semanal padrão de trabalho para um docente contratado segundo o processo seletivo da USP e em que condições essa carga horária pode ser excepcionalmente reduzida?"
640,"Qual será o destino das vagas não preenchidas pelo Processo seletivo ENEM-USP 2024 para cursos de Graduação na USP?"
419,"Quais são as modalidades de parcerias que a Universidade de São Paulo pode aprovar e firmar, conforme suas normas institucionais?"
737,"Qual é a nota mínima para aprovação na análise do currículo Lattes na primeira fase do Processo Seletivo para o Doutorado Direto em Saúde Global e Sustentabilidade na USP?"
1264,"Qual é o procedimento para os candidatos que desejam apresentar manifestações contrárias à lista de pontos e ao modus faciendi da prova prática em um concurso na Universidade de São Paulo, e como essas manifestações são tratadas pela Comissão Julgadora?"
1249,"Quais são os critérios para a seleção de alunos monitores de graduação e pós-graduação na USP?"
1329,"Quais são os membros que compõem o Conselho Gestor do Campus Capital-Butantã da USP e como são escolhidos?"
1592,"Quais são os deveres dos discentes de acordo com o Regimento do ICMC da USP?"
1615,"Quem assume a Pró-Reitoria de Pesquisa e Inovação da USP na ausência do Pró-Reitor e dos Pró-Reitores Adjuntos, e sob quais critérios essa substituição é feita?"
716,"Quais são os critérios de publicação que um pesquisador deve atender, nos últimos cinco anos, para ser considerado qualificado segundo um determinado regulamento da USP?"
1143,"Quantos membros compõem a Comissão de Inclusão e Pertencimento da USP e como são eleitos esses membros?"
648,"Qual é o procedimento necessário para candidatos autodeclarados negros, de cor preta ou parda, que optam pela ação afirmativa em concursos públicos para provimento de cargo docente na USP?"
1623,"Quais são os membros que compõem o Conselho do Departamento na Universidade de São Paulo conforme o regulamento?"
643,"Quantas vagas serão disponibilizadas para o processo de transferência de cursos de graduação na USP para o 2º semestre de 2024 e o 1º semestre de 2025?"
758,"Quantos créditos especiais são atribuídos a um aluno da USP que realiza o depósito de patentes relacionadas ao projeto de sua dissertação ou tese?"
1425,"Quais são os principais objetivos do Instituto de Geociências da Universidade de São Paulo conforme seu regimento?"
1466,"Qual é a composição da Comissão de Cultura e Extensão Universitária da USP e quais são os critérios para a eleição de seus membros?"
632,"Um aluno pode cursar simultaneamente mais de um curso de graduação na USP?"
677,"Quais são os critérios utilizados para avaliar o desempenho acadêmico e científico dos alunos no programa de pós-graduação em Oncologia da USP?"
1265,"Quais são as comissões da USP que devem reger-se por regimentos próprios aprovados pela Congregação?"
766,"Quais são os requisitos necessários para a apresentação de um projeto de orientação de pós-graduação na USP, incluindo a necessidade de vínculo institucional do solicitante?"
937,"Quantos artigos derivados do projeto de pesquisa de doutorado devem ser incluídos na tese na forma de coletânea de artigos na USP, e quais são os requisitos de publicação desses artigos?"
676,"Quais são os critérios de avaliação para alunos durante exames de qualificação em programas de pós-graduação em Oncologia na USP?"
15,"Quais são os requisitos necessários para um candidato se inscrever em um concurso para professor catedrático na USP?"
1138,"Qual é o objetivo do Centro Observatório das Instituições Brasileiras (COI) criado pela Universidade de São Paulo?"
1427,"Quais são as etapas do concurso para Professor Doutor na USP e qual o peso de cada uma delas?"
1119,"Quais são os requisitos necessários para a contratação de docentes por prazo determinado na Universidade de São Paulo conforme estabelecido pela resolução citada?"
657,"Quais critérios são utilizados para avaliar os projetos de pesquisa dos candidatos no processo seletivo de pós-graduação do Departamento de Letras Modernas da USP?"
1444,"Quais são os órgãos que compõem a administração central da Faculdade na USP, conforme descrito no regulamento?"
733,"Quantos créditos especiais um aluno da USP pode receber por participar do Programa de Aperfeiçoamento do Ensino (PAE) durante seu período de matrícula regular?"
1327,"Quais são os órgãos responsáveis pela administração do Campus Área Capital-Leste da Universidade de São Paulo?"
1110,"Quais são os critérios para a composição da Comissão de Graduação na USP e como são eleitos seu Presidente e Vice-Presidente?"
915,"Como são tomadas as deliberações pela Comissão de Pós-Graduação (CPG) e qual é o papel do Presidente em casos de urgência?"
635,"Como são classificados os candidatos para as vagas destinadas às Políticas de Ações Afirmativas na USP após o preenchimento das vagas de Ampla Concorrência?"
673,"Quais são as responsabilidades da Comissão de Legislação e Recursos (CLR) da USP em relação à gestão de cargos e funções docentes?"
1606,"Quais são os órgãos que exercem a Administração Geral do Instituto de Química da USP, conforme seu regimento?"
595,"Quais são as condições sob as quais um servidor da USP pode ser obrigado a restituir a ajuda de custo recebida?"
1389,"Quem é responsável pela escolha do Diretor e do Vice-Diretor na Universidade de São Paulo, e com base em que documento essa escolha é feita?"
831,"Quais critérios são utilizados para avaliar o projeto de pesquisa de um candidato no processo seletivo de um programa de pós-graduação na USP?"
1382,"Como é o processo de eleição do representante dos antigos alunos para o Conselho da USP e quem pode votar e ser votado?"
1133,"Qual é o limite máximo de horas semanais que um voluntário pode dedicar ao serviço na USP e quais condições devem ser observadas em relação ao horário de expediente?"
305,"Quais são os órgãos criados pela USP para auxiliar na aplicação da Lei Geral de Proteção de Dados Pessoais (LGPD) e na regulamentação da atividade do Encarregado pela Proteção de Dados Pessoais?""
1447,"Quais são os critérios de avaliação para a seleção de monitores na USP conforme o regulamento?"
1459,"Quais são os critérios utilizados pela comissão julgadora para avaliar o projeto de pesquisa no concurso de Professor Doutor na USP?"
1014,"Quais são as condições para que o exame de proficiência em idiomas seja dispensado para candidatos a programas de pós-graduação na USP?"
627,"Quais são os critérios para um candidato ser elegível às vagas destinadas às Políticas de Ações Afirmativas na USP, especificamente para as categorias Escola Pública (EP) e Pretos, Pardos e Indígenas (PPI)?"
676,"Quais são os critérios de avaliação de um aluno durante o exame de qualificação em Oncologia na USP?"
1367,"Quais são as competências do chefe do Departamento na Universidade de São Paulo conforme o regimento interno?"
1567,"Quantos representantes titulares e suplentes dos cursos de Física são eleitos para compor a Comissão de Graduação da USP, e como é feita a divisão entre os departamentos FCM e FCI segundo a última resolução?"
1430,"Quem tem a autoridade para aprovar o Regulamento da Biblioteca, do Centro de Computação, da Oficina Mecânica Central e dos serviços administrativos do Instituto de Física da USP?"
1142,"Quais são as condições necessárias para que alunos de pós-graduação e candidatos bolsistas possam se inscrever em um Programa na USP?"
1269,"Qual é o procedimento para a convocação de sessões extraordinárias da Congregação na USP e quem pode iniciá-las?"
1597,"Quem é responsável por traçar as diretrizes e zelar pela execução dos Projetos de Pesquisa e Inovação na USP?"
928,"Quais são os requisitos para a apresentação de Dissertações e Teses na USP conforme o Regimento de Pós-Graduação?"
771,"Quais são os critérios necessários para o recredenciamento de um orientador pleno na USP, conforme as normas institucionais?"
1554,"Qual é a duração do mandato dos membros docentes eleitos para a Comissão de Graduação da USP e é permitida a recondução?"
18,"Quais são as formas pelas quais a Universidade de São Paulo promove a aproximação e o convívio entre professores e alunos de diferentes institutos?"
1430," Quem tem a autoridade para aprovar o Regulamento da Biblioteca, do Centro de Computação, da Oficina Mecânica Central e dos serviços administrativos do Instituto de Física da USP?"
926,"Quais são os requisitos para a inscrição de um estudante no Exame de Qualificação (EQ) de Mestrado na USP?"
950,"Qual é o prazo de validade do credenciamento de orientadores na Universidade de São Paulo e qual é o número máximo de alunos que um orientador pode orientar diretamente?"
561,"Quantas bolsas de residência médica em Otorrinolaringologia foram destinadas ao Hospital de Reabilitação de Anomalias Craniofaciais da Universidade de São Paulo para os ingressantes até 2024?"
633,"Como serão tratados os dados pessoais dos candidatos que se inscreverem no vestibular FUVEST 2024?"
1585,"Quais são os membros que compõem o Conselho Técnico Administrativo (CTA) da USP e qual é a duração do mandato para cada tipo de representante?"
593,"Qual é a consequência para um servidor da Universidade de São Paulo que não cumprir o número de horas semanais de trabalho estabelecido, fora das exceções previstas no estatuto?"
413,"Quais são os critérios de elegibilidade para os alunos de graduação participarem como candidatos na eleição dos representantes discentes junto ao Conselho de Inclusão e Pertencimento e Conselho de Pesquisa e Inovação da USP?"
947,"Quais são os requisitos mínimos para uma dissertação de mestrado no formato de coletânea comentada de artigos na USP?"
1106,"Quais são os órgãos administrativos do Museu Paulista de acordo com o seu regimento interno?"
737,"Quais são os critérios de avaliação e seus respectivos pesos na primeira fase do processo seletivo para o Doutorado em Saúde Global e Sustentabilidade na USP?"
820,"Qual é o prazo máximo para o depósito da dissertação em um curso de Mestrado Profissional na USP, incluindo a possibilidade de prorrogação?"
926,"Quais são os requisitos para um estudante de Mestrado da USP solicitar a mudança de curso para Doutorado Direto?"
1272,"Qual é o prazo máximo estabelecido para a integralização dos créditos dos cursos de Graduação na EEFE-USP?"
595,"Quais são os critérios para um servidor da USP ter direito ao salário-família por seus filhos?"
846,"Qual é o procedimento para um estudante que foi reprovado no exame de qualificação na USP e deseja tentar novamente?"
1588,"Quem assume a responsabilidade pela CRInt na ausência do Presidente e do Vice-Presidente, de acordo com o regulamento da USP?" 
1386,"Quais são as situações em que a votação será realizada de forma secreta segundo as normas de votação da matéria constante de pauta na USP?"
43,"Quais são as finalidades da Coordenadoria da Saúde e Assistência Social (COSEAS) na Universidade de São Paulo?"
1452,"Quais são os cursos de graduação oferecidos pelo Instituto de Matemática e Estatística (IME) da Universidade de São Paulo (USP) e como é tratada a co-responsabilidade de um desses cursos com outra faculdade?"
765,"Como os estudantes de pós-graduação da USP são avaliados anualmente em relação ao seu desempenho acadêmico e científico?"
1631,"Quando o Regimento da Faculdade de Ciências Farmacêuticas da USP foi aprovado e quais resoluções ele revogou?"
1371,"Quais são os requisitos para um estudante de mestrado da USP prosseguir para o doutorado sem ter completado todos os estudos de mestrado e como isso afeta o prazo do doutorado?"
1050,"Quais são as habilidades que um participante pode desenvolver ao realizar o Programa de Gestão da Inovação (PGI) na USP?"
1296,"Quais são as competências da CIP relacionadas à inclusão e diversidade na Universidade de São Paulo?"
928,"Quais são os requisitos para a apresentação de Dissertações e Teses na USP conforme o Regimento de Pós-Graduação?"
674,"Quais são os exames de proficiência em inglês aceitos pela USP para candidatos aos processos seletivos de Mestrado e Doutorado, e quais são as pontuações mínimas exigidas para cada tipo de curso?"
1012,"Quantos membros devem compor as Comissões Julgadoras das Dissertações de Mestrado e Teses de Doutorado na USP, e qual é a exigência quanto à origem desses membros?"
1527,"Quais são os requisitos para que os docentes da Universidade de São Paulo possam participar das atividades de cultura e extensão universitária?"
1280,"Quais são os critérios para que um aluno da FEARP seja elegível para atuar como monitor?"
943,"Quais são os requisitos para o depósito digital de uma Tese de Doutorado na USP, incluindo a necessidade de comprovação relacionada a artigos científicos?"
1408,"Quais são os critérios para a concessão do título de Professor Emérito na FCFRP-USP?"
1153,"Como são escolhidos o Presidente e o Vice-Presidente de uma comissão na USP, e qual é o papel do Conselho Deliberativo nesse processo?"
1474,"Qual é o prazo máximo que cada examinador tem para sua arguição em um concurso para o título de livre-docente na USP, e qual é o tempo máximo que o candidato tem para responder?"
305,"Quais são as responsabilidades do Comitê Gestor de Governança de Dados e Informações da Universidade de São Paulo em relação ao tratamento de dados pessoais?"
1228,"Quais são as funções da Comissão de Graduação na USP conforme a última atualização normativa?"
1507,"Qual é o prazo máximo para os alunos do Curso de Graduação em Medicina Veterinária da USP integralizarem os créditos de acordo com o regulamento da FMVZ?"
1408,"Quais são as provas e suas respectivas ponderações no concurso de Livre-Docência na Faculdade de Ciências Farmacêuticas de Ribeirão Preto da USP?"
1587,"Qual é a composição da Comissão de Inclusão e Pertencimento (CIP) do ICMC segundo a Resolução 8503/2023, e quais são os mandatos dos seus membros?"
1248,"Qual é a duração do mandato dos membros docentes e do servidor técnico e administrativo na CRInt, e é permitida a recondução?"
10,"Quais são as cadeiras fundamentais oferecidas pela Secção de Filosofia na Faculdade de Filosofia, Ciências e Letras da USP?"
1372,"Qual é o requisito mínimo de titulação para os membros das comissões julgadoras na USP, e em que circunstâncias é permitido incluir um membro sem o título de doutor?"
1099,"Quem é responsável por aprovar o afastamento de docentes ou pesquisadores do IEB para obtenção de títulos fora da USP?"
31,"Quais são as competências do Conselho Universitário da USP para definir diretrizes e promover ações dentro da universidade?"
698,"Quais são as condições que podem levar à reprovação de um aluno em um programa de pós-graduação na USP?"
11,"Quais são as disciplinas que constituem o curso superior de agricultura na Escola Superior de Agricultura “Luiz de Queiroz” e como elas são distribuídas ao longo dos anos de curso?"
638,"No Processo Seletivo ENEM-USP 2024, qual a condição que um candidato convocado para sua primeira opção de curso deve manifestar, e qual é o impacto dessa escolha na sua participação no processo seletivo?" 
1137,"Quando um novo Acordo Coletivo de Trabalho (ACT) poderá entrar em vigor na Universidade de São Paulo, considerando a necessidade de negociação sobre cláusulas de ausências por motivos de saúde?"
1246,"Quais são os órgãos de administração do Instituto de Ciências Matemáticas e de Computação (ICMC) da USP conforme a última alteração regulamentar?"
976,"Quais são os elementos que devem ser incluídos no Relatório de Qualificação de um estudante de pós-graduação na USP?"
1369,"Quem pode fazer parte dos Núcleos de Apoio (NA) na Universidade de São Paulo além dos docentes?"
884,"Quais são os critérios para um estudante de Mestrado solicitar a mudança para o curso de Doutorado Direto na USP após a aprovação no Exame de Qualificação?"
239,Quais medidas devem ser observadas no desenvolvimento das atividades presenciais na Universidade de São Paulo?"
1049,"Quem é responsável por resolver os casos omissos na Resolução mencionada no texto da Universidade de São Paulo?"
661,"Quais são os idiomas permitidos para a redação e defesa de dissertações e teses na Universidade de São Paulo?"
1259,"Qual é a composição da Comissão de Pós-Graduação na Universidade de São Paulo e como são eleitos seus membros representantes dos docentes e discentes?"
1501,"Como pode ser emendado o Regimento do IQSC da Universidade de São Paulo?"
820,"Quais são os requisitos para um candidato vinculado diretamente à empresa associada ao Programa de Mestrado Profissional da USP para se inscrever no processo seletivo?"
859,"Quais são as condições para que candidatos estrangeiros sejam isentos da comprovação de proficiência em língua inglesa nos processos seletivos de mestrado e doutorado na USP?"
653,"Quais são os critérios para a composição da Comissão de Pós-Graduação da Escola de Educação Física e Esporte de Ribeirão Preto (EEFERP) e qual é o mandato dos seus membros?"
878,"Quais são os componentes necessários para a apresentação do exame de qualificação no Doutorado na USP e como eles devem ser submetidos?"
24,"Quais são os requisitos necessários para um candidato se inscrever em um concurso de títulos e provas na USP, conforme o regulamento?"
848,"Qual é a nota mínima que um candidato deve obter nas provas escrita e de arguição para ser aceito em um programa de pós-graduação na USP, conforme o edital divulgado no Diário Oficial do Estado de São Paulo?"
1562,"Qual é a composição da representação docente na Congregação da USP e qual é a duração do mandato desses representantes?"
679,"Quais são os requisitos mínimos de publicação para dissertações de mestrado e teses de doutorado na USP que são baseadas em artigos?"
1137,"Quais são os critérios para um servidor da Universidade de São Paulo obter horário especial de trabalho devido a deficiência própria ou de familiares?"
54,"Quais são as duas categorias de estudantes que compõem o Corpo Discente na USP e quais são os critérios para pertencer a cada uma delas?"
1473,"Quais são as principais atribuições da Comissão de Inclusão e Pertencimento da FDRP conforme estabelecido pela Resolução 8490/2023?"
532,"Quem tem a competência para autorizar despesas de alunos da USP em eventos ou atividades acadêmicas no exterior e qual é o limite de valor para essas despesas?"
1171,"Qual a data de aposentadoria voluntária do Professor Silvio Aparecido de Carvalho na USP e qual lei e resolução estão associadas à criação e extinção do seu cargo?"
737,"Quais são os critérios utilizados para avaliar a maturidade científica dos candidatos ao Doutorado em Saúde Global e Sustentabilidade na USP?"
1540,"Quais são os instrumentos da gestão acadêmica do Museu de Zoologia da USP segundo o seu regimento?"
661,"Quais são os critérios para o recredenciamento de orientadores em um programa de pós-graduação na USP?"
1469,"Como são escolhidos o Presidente da Coordenação e seu suplente na Escola Politécnica da USP?"
1223,"Quais são as responsabilidades do Conselho do Departamento na Universidade de São Paulo conforme o regulamento?"
834,"Quais são os critérios para o credenciamento e recredenciamento de um orientador pleno na área de Pós-Graduação em Oceanografia na USP?"
839,"Em quais idiomas uma dissertação pode ser redigida e defendida na Universidade de São Paulo, de acordo com o Regimento de Pós-Graduação?"
687,"Quais idiomas são permitidos para a redação e defesa de Dissertações e Teses na Universidade de São Paulo, além do português?"
1534,"Quais são os departamentos que compõem a Escola de Enfermagem de Ribeirão Preto (EERP) da USP?"
1592,"Quais são os deveres dos discentes de acordo com o Regimento do ICMC da USP?"
1081,"Quais são as responsabilidades de um coordenador de Grupo de Pesquisa na USP conforme o regulamento?"
1386,"Quais são as situações em que a votação será realizada de forma secreta dentro do conselho da USP, conforme as normas estabelecidas?"
3,"Qual é o período mínimo que um candidato ao Mestrado ou Doutoramento deve esperar após a integralização dos créditos exigidos para poder apresentar sua dissertação ou tese na USP?"
902,"Quais são os critérios de proficiência em língua estrangeira exigidos para candidatos ao programa de Mestrado Profissional na USP?"
594,"Quais são as condições sob as quais o salário de um servidor da USP pode ser objeto de arresto, sequestro ou penhora, conforme o estatuto da universidade?"
772,"Quais são os critérios obrigatórios para a opção de dissertação em formato de coletânea de artigos na USP?"
606,"Quais são as Comissões Permanentes do Conselho Universitário da USP e como são constituídas essas comissões?"
858,"Qual é a nota mínima necessária para um candidato ser considerado aprovado em um processo de seleção na USP?"
1280,"Quais são os critérios para que um aluno possa se tornar monitor na FEARP da USP?"
1513,"Quais são as condições para que um aluno de graduação ou pós-graduação possa ser eleito como representante nos termos do Estatuto da USP?"
785,"Qual é o prazo máximo para a reformulação de um relatório de atividades de pesquisa para alunos de Mestrado na USP?"
806,"Qual é o número máximo de orientandos que um orientador pode ter na USP e quantos alunos ele pode coorientar adicionalmente?"
1215,"Quem tem direito de voto, mas não de ser votado, nas eleições da representação discente na Universidade de São Paulo?"
860,"Quais são as consequências para um programa de pós-graduação na USP caso não entregue o relatório anual na data limite ou tenha seu relatório anual reprovado por duas vezes consecutivas?"
1305,"Quem são os membros elegíveis para votar na Comissão de Residência Médica (COREME) da FMUSP?"
1517,"Quantos membros compõem a Comissão de Pós-Graduação (CPG) da USP e como são escolhidos seus integrantes?"
1383,"Como será determinado o início do mandato do primeiro Vice-Diretor eleito em chapas nos Museus e Institutos Especializados da USP, caso os mandatos do Diretor e Vice-Diretor atuais não coincidam?"
1610,"Quem tem acesso às reuniões da Congregação da USP e em quais condições?"
975,"Quantos créditos são necessários para a integralização do curso de mestrado na USP e como eles são distribuídos entre disciplinas e dissertação?"
593,"Quantas vezes por mês um servidor da USP pode se retirar temporária ou definitivamente durante o expediente sem desconto em seu salário, e sob que condição essa autorização é concedida?"
1155,"Qual é a porcentagem de representação discente nas Comissões da USP e como é eleita essa representação?"
1088,"A participação em projetos de pesquisa apoiados pelo CEBIMar gera vínculo empregatício ou funcional entre a Universidade de São Paulo e os membros desses projetos?"
1517,"Quantos membros compõem a Comissão de Pós-Graduação (CPG) da USP e como são escolhidos seus integrantes?"
1348,"Qual é o mandato dos representantes das Classes Trabalhadoras do Estado de São Paulo no contexto mencionado?"
1356,"Quais são as etapas do concurso público para a obtenção do título de Livre-Docente na Universidade de São Paulo (USP)?"
32,"Como é escolhido o Reitor da Universidade de São Paulo e qual é a duração do seu mandato?"
1569,"Quais são os meses em que as inscrições para o Concurso de Livre-Docência na USP estão abertas, e quais idiomas são aceitos para a redação do memorial e da tese original ou do texto exigidos na inscrição?"
1083,"Qual é a principal função do Centro de Informática de São Carlos (CISC) na Universidade de São Paulo?"
1497,"Qual é a carga horária mínima semanal em disciplinas obrigatórias para a matrícula na graduação na USP, e quais são as exceções a essa regra?"
10,"Quais são as áreas de estudo abrangidas pela secção de letras na regulamentação da Faculdade, conforme o artigo 21?"
1556,"Quais são as competências da Comissão de Pós-Graduação (CPG) na Universidade de São Paulo?"
1607,"Quais são as principais responsabilidades das Comissões de Graduação, Pós-Graduação, Pesquisa e Cultura e Extensão Universitária na Universidade de São Paulo?"
1506,"Qual é a composição e os mandatos dos membros da Comissão de Inclusão e Pertencimento da FMVZ-USP?"
933,"Quais são os documentos necessários para um aluno solicitar a mudança de curso de Mestrado para Doutorado Direto na USP?"
1218,"Quem é responsável pela convocação de sessões ordinárias ou extraordinárias na USP e com quanto tempo de antecedência deve ser feita essa convocação?"
37,"Qual é o prazo máximo assegurado para um candidato inscrito a concurso de doutoramento, até a data da vigência do Estatuto da USP, concluir seu doutorado?"
1416,"Quais são os períodos de inscrição para monitoria na Universidade de São Paulo conforme a última atualização normativa?"
898,"Qual é o prazo máximo para o depósito da tese de Doutorado na USP, tanto para portadores do título de mestre quanto para aqueles que ingressam diretamente no Doutorado, e é possível solicitar prorrogação desse prazo?"
1523,"Quais são as quatro provas que compõem o concurso de Livre-Docência na Universidade de São Paulo e quais são seus respectivos pesos?"
1153,"Quais são as fases e provas, incluindo seus respectivos pesos, que compõem o concurso para Professor Doutor na USP?"
1513,"Quais são os objetivos do Regimento da Escola de Artes, Ciências e Humanidades (EACH) da Universidade de São Paulo?"
1541,"Como são propostos os cargos docentes na Universidade de São Paulo e quais são os requisitos para essa proposição?"
1240,"Quais são os critérios para a composição da Comissão de Inclusão e Pertencimento do IP na USP, incluindo a duração do mandato e a possibilidade de recondução para seus membros?"
1511,"Quais são as responsabilidades dos Procuradores da Universidade de São Paulo que estão lotados nos campi do interior?"
1225,"Qual é a duração mínima e máxima permitida para a prova de erudição segundo as normas da USP?"
1136,"Qual é o requisito atualizado para a expedição de segunda via de diplomas pela Universidade de São Paulo em caso de extravio?"
1440,"Quais são as competências do Diretor de uma Unidade na Universidade de São Paulo conforme o regulamento?"
1087,"Quais são os critérios para a composição da Comissão Científica do CEBIMar segundo o seu regimento?"
1415,"Qual é a duração máxima permitida para as provas públicas de arguição nos concursos de Professor Doutor, Livre-Docência e Professor Titular na USP, e sob que condições o diálogo entre examinador e examinado é permitido?"
1565,"Qual é a função do GACInt na promoção de assuntos referentes a relações internacionais na USP?"
1404,"Qual é a duração do mandato dos docentes eleitos pela Congregação para fazer parte da Comissão de Pesquisa na USP e é permitida a recondução?"
1549,"Quem pode participar das reuniões do CTA da ESALQ sem direito a voto?"
891,"Qual é o prazo máximo para o depósito da dissertação de Mestrado na USP?"
1493,"Quem tem a autoridade para veicular notícias e informações ou divulgar o nome e imagens do HRAC?"
607,"Quais são as principais responsabilidades do Reitor da Universidade de São Paulo conforme o regulamento institucional?"
1624,"Quais são os critérios de avaliação e seus respectivos pesos para o concurso de Professor Doutor na USP quando realizado em uma única fase?"
48,"Quais são os objetivos do primeiro ciclo dos currículos de graduação na USP, conforme estabelecido nos regulamentos da universidade?"
